X,Y,Class
1.524450,8.724813,1
3.046078,8.987624,1
-9.777789,1.036573,2
6.530741,2.940600,0
6.579334,1.707338,0
10.588865,2.820733,0
2.310266,8.001405,1
5.744314,2.674074,0
1.928483,8.561605,1
2.085126,7.455694,1
1.927098,11.534461,1
-5.554138,1.793756,2
1.049464,9.068142,1
3.050975,6.888670,1
3.422615,7.843195,1
6.937785,2.787013,0
6.906631,0.178348,0
-9.457317,-0.028967,2
6.857949,3.085752,0
-6.716944,-1.723686,2
6.550846,2.356944,0
2.022113,9.532779,1
2.528916,5.361933,1
-8.240581,0.410493,2
7.521805,0.903468,0
6.261056,-0.596393,0
2.842068,8.669858,1
-8.448565,2.206896,2
-7.407753,1.584966,2
-6.905845,-0.052945,2
2.477475,10.936429,1
7.869537,2.829481,0
7.728152,1.070042,0
7.439843,3.575274,0
6.648743,1.199736,0
1.550824,8.786256,1
7.654167,1.239676,0
2.720139,8.367782,1
-7.896788,2.305064,2
2.699128,8.265524,1
-7.820640,0.556647,2
1.991375,8.508102,1
-6.472177,0.295989,2
-7.684636,0.786242,2
-7.957010,0.390953,2
8.045366,1.178772,0
-9.060871,0.907954,2
-8.653047,0.199998,2
1.451415,9.582428,1
6.836137,1.964980,0
-8.956543,-0.524837,2
3.510432,8.881121,1
6.439260,1.007697,0
3.111650,8.316566,1
2.321453,8.135103,1
8.254807,2.806905,0
5.599797,1.272165,0
0.455958,9.391957,1
7.586114,1.395463,0
3.064633,7.147761,1
-8.801379,-1.396493,2
7.197720,1.986669,0
-6.903659,1.405939,2
6.498662,1.051049,0
-7.760182,1.242188,2
7.907565,1.038140,0
7.740501,2.730691,0
-6.396571,0.209152,2
-6.801335,1.444713,2
7.746077,1.996323,0
3.032357,9.209859,1
3.577844,9.898199,1
-9.317816,-0.401485,2
1.418823,9.418800,1
3.835018,8.718580,1
-8.032991,0.211548,2
-7.049544,0.005378,2
-8.685312,1.765841,2
2.294169,7.966277,1
7.917011,2.721596,0
1.931467,7.879608,1
7.419918,0.286101,0
-8.238949,-0.053196,2
-8.031734,-0.029344,2
7.022583,0.383255,0
7.887347,1.161578,0
6.391226,3.935022,0
-6.980067,0.124435,2
8.134395,3.686533,0
2.834025,8.727463,1
-8.342522,0.281409,2
2.720255,9.610877,1
-7.033094,1.463942,2
3.034141,8.689725,1
-9.454720,2.032523,2
8.796483,1.340735,0
-7.973865,0.999893,2
-7.148067,-0.236234,2
9.474539,-0.043784,0
2.315670,8.266161,1
