X,Y,Class
0.876921,-1.104029,0
1.004519,0.768211,1
-0.595671,-0.970174,2
1.008299,-0.913852,0
1.003642,0.090882,1
1.001934,0.820559,1
0.994496,2.347965,1
0.997680,1.334616,1
1.001411,1.051460,1
0.957769,-0.909331,0
0.999465,1.866408,1
1.891248,-2.863501,0
-1.995793,-0.443323,2
1.004340,0.670202,1
1.387345,-1.917915,0
1.015305,-0.736177,1
-0.142617,0.425914,0
-1.010721,-1.385449,2
0.130801,-1.851128,2
0.567065,-0.064115,0
0.847090,-1.014136,0
-0.935560,0.930743,2
1.869747,-1.787100,0
0.992938,1.053045,1
0.531678,-0.387039,0
1.279677,-0.768630,0
1.043114,-1.424570,0
0.977712,1.906319,1
0.926392,-1.008714,0
0.360857,-1.128777,0
-0.236786,-1.705526,2
1.259297,-1.250912,0
-2.052864,-0.846932,2
1.007438,0.954370,1
-0.396500,-0.921871,2
0.990615,2.086898,1
1.004924,0.316368,1
1.005180,-0.433512,1
-0.965713,-1.006444,2
0.738282,-0.632134,0
-0.168433,0.170177,0
-0.254938,-0.940665,2
1.002580,0.235016,1
-0.176202,-0.194349,2
1.008769,0.120010,1
1.006679,1.666316,1
1.001469,1.065694,1
-0.234043,-0.770910,2
0.851652,-1.678515,2
1.005303,-1.953579,1
1.008111,-1.286664,1
0.290552,-1.401782,2
1.587547,-1.646254,0
0.968476,-0.999328,0
0.990835,1.700110,1
-1.479449,-0.574558,2
1.001262,1.327251,1
1.008307,-0.705204,1
0.999679,1.013509,1
2.068402,-2.176543,0
1.005270,-0.360566,1
-2.853970,-0.484566,2
-2.178939,-0.762221,2
0.514946,-0.345961,0
-0.404415,0.800347,0
1.004260,-1.228971,1
1.373260,-1.630237,0
-0.130800,0.535524,0
0.498361,-0.817007,0
1.001935,0.165490,1
0.998312,0.880770,1
-0.769402,-0.286347,2
1.006888,-0.758133,1
1.107563,-1.398796,0
1.490144,-1.198746,0
-1.571855,-0.872001,2
1.776363,-1.649117,0
-2.436023,-1.227855,2
-1.100645,-0.105216,2
-0.692672,0.380814,0
0.950155,-0.663128,0
1.021398,0.558116,1
0.910061,-1.504557,0
1.005644,1.571566,1
-0.523499,-2.773673,2
-0.854832,-0.223950,2
-0.259685,0.293564,2
-1.532536,-1.746242,2
1.009841,-1.442235,1
1.265099,-1.472708,0
0.915988,-1.844293,2
1.382610,-2.444928,0
-3.161980,-0.545989,2
0.320303,-0.269511,0
-1.210603,-2.079915,2
-2.147524,-0.006443,2
0.968462,-1.712839,2
-0.368870,-0.354464,2
-1.299353,-1.073661,2
-2.414497,-1.173901,2
