X,Y,Class
0.348761,-1.372388,1
-0.774440,-0.279130,0
1.040985,2.352523,1
-0.782299,0.372154,0
-1.600382,0.532238,0
-1.726158,0.643527,0
0.427645,0.006752,1
2.081344,0.478925,1
-0.958268,2.291054,0
-0.776716,0.389003,0
0.712298,-0.207210,1
-1.317978,-1.008635,0
-1.133867,1.372838,0
0.736933,0.256947,1
0.646748,-0.767242,1
0.802253,-1.352281,1
0.025382,0.807374,0
1.337341,-0.428954,1
1.136565,0.399805,1
0.857506,-0.292380,1
0.124091,2.090132,0
0.750386,-0.506459,1
1.442715,0.307776,1
1.248914,0.878351,1
1.570049,2.170007,1
-0.498370,0.202497,0
-1.465426,-0.586499,0
-1.519245,-0.557407,0
1.151552,1.038614,1
1.011211,-0.532759,1
0.841327,0.462388,1
-1.716738,0.688457,0
-1.212002,-0.966562,0
-0.820925,0.823084,0
-1.444756,-1.353515,0
-1.196228,-1.602061,0
1.753128,2.188025,1
0.397228,0.075891,0
0.234839,-1.706824,1
-0.503301,-1.085471,0
-0.894697,-1.212284,0
0.264837,0.203362,1
0.414163,0.306955,0
0.978856,-1.582261,1
1.398023,0.025946,1
1.378501,0.705646,1
-0.976403,-2.251811,0
-0.478579,0.598661,0
0.923683,-1.384409,1
0.690775,0.554201,1
-0.616676,0.829032,0
0.889197,-1.742571,1
-1.542035,-0.874382,0
-0.703743,-0.633496,0
1.657968,-0.073808,1
-1.657344,1.323451,0
0.850793,-1.598280,1
0.934920,-0.222709,1
0.487203,0.638448,1
1.128845,-0.423466,1
0.945096,0.981305,1
-0.912131,1.092424,0
-0.882568,0.654442,0
1.276919,-1.679804,1
1.303606,-0.645913,1
-1.150431,-0.509213,0
0.682920,-0.893936,1
-1.337800,0.297421,0
-0.417142,-1.223780,0
-0.467035,0.285831,0
-0.550069,1.154382,0
0.902956,0.359284,1
0.625932,0.804954,1
-1.661328,-1.355924,0
-0.715658,0.270081,0
0.795662,-1.481971,1
0.529152,1.378150,1
-2.003175,0.428008,0
0.818576,-0.120548,1
-1.151390,0.383020,0
1.167114,0.023543,1
-0.855481,-1.284657,0
-0.964751,-0.817238,0
-1.114628,1.182247,0
-1.493794,0.336158,0
-0.621535,-0.614750,0
-1.744195,1.277900,0
0.931332,-0.690839,1
-1.061186,-1.638421,0
0.850151,-2.376852,1
0.879285,-0.764605,1
1.136102,-0.609086,1
1.704757,-0.523871,1
-1.935965,-1.422198,0
0.834688,-2.154924,1
1.634120,-0.669927,1
-0.644735,-3.372911,0
-0.953437,0.549297,0
-0.908410,0.112762,0
1.067074,0.191668,1
